# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
177.0; 4.785; -37.4; -1025.5; 3704.7; -37.4; -739.8; 2573.5; 391.2; -1696.8; 4274.9; 391.2; -1299.9; 3143.8
180.0; 4.861; -585.6; 301.7; 3268.5; -585.6; 317.4; 3341.9; -406.5; -142.1; 3496.9; -406.5; -143.6; 3570.3
183.0; 4.937; -1369.1; 1157.3; 2874.6; -1369.1; 1565.7; 4050.8; -929.2; 979.2; 2770.5; -929.2; 1320.1; 3946.7
186.0; 5.013; -1840.2; 1534.0; 2624.6; -1840.2; 2435.3; 4479.2; -1243.2; 1474.7; 2319.6; -1243.2; 2451.6; 4174.1
189.0; 5.091; -1796.7; 1642.0; 2434.0; -1796.7; 2861.3; 4631.4; -1214.8; 1687.3; 2145.1; -1214.8; 3123.6; 4342.5
192.0; 5.169; -1580.0; 1660.9; 2292.4; -1580.0; 3070.5; 4662.9; -1070.3; 1795.5; 2093.1; -1070.3; 3486.5; 4463.7
195.0; 5.248; -1386.8; 1665.3; 2194.6; -1386.8; 3202.8; 4661.6; -939.3; 1851.1; 2075.8; -939.3; 3680.5; 4542.7
198.0; 5.328; -1273.3; 1661.5; 2139.3; -1273.3; 3266.0; 4653.0; -863.4; 1877.8; 2066.8; -863.4; 3777.8; 4580.5
201.0; 5.408; -1210.1; 1655.9; 2107.5; -1210.1; 3294.3; 4642.7; -821.2; 1889.4; 2060.2; -821.2; 3824.9; 4595.3
204.0; 5.489; -1174.5; 1650.8; 2087.9; -1174.5; 3306.6; 4632.1; -797.4; 1893.0; 2054.1; -797.4; 3846.2; 4598.4
207.0; 5.571; -1153.3; 1648.2; 2073.9; -1153.3; 3316.2; 4622.3; -783.2; 1891.9; 2047.6; -783.2; 3854.4; 4596.0
210.0; 5.653; -1138.0; 1650.2; 2060.9; -1138.0; 3335.3; 4614.2; -772.9; 1887.5; 2039.6; -772.9; 3857.6; 4592.9
213.0; 5.736; -1121.6; 1659.5; 2044.8; -1121.6; 3376.3; 4609.0; -762.0; 1880.5; 2029.0; -762.0; 3862.3; 4593.1
216.0; 5.819; -1097.7; 1678.5; 2021.8; -1097.7; 3451.7; 4607.8; -746.1; 1871.3; 2014.6; -746.1; 3874.6; 4600.6
219.0; 5.903; -896.5; 1678.6; 1955.8; -896.5; 3543.0; 4576.5; -612.6; 1890.0; 2032.2; -612.6; 3918.8; 4652.9
222.0; 5.987; -591.4; 1660.2; 1867.4; -591.4; 3629.4; 4525.9; -407.4; 1927.2; 2072.1; -407.4; 3978.8; 4730.5
225.0; 6.072; -286.0; 1631.0; 1783.6; -286.0; 3689.9; 4472.1; -197.9; 1968.1; 2118.0; -197.9; 4034.5; 4806.4
228.0; 6.157; -44.4; 1602.1; 1721.2; -44.4; 3720.8; 4428.1; -40.0; 2001.3; 2156.3; -40.0; 4074.5; 4863.1
231.0; 6.242; -36.3; 1583.7; 1686.3; -36.3; 3733.6; 4401.3; 179.9; 2020.4; 2178.7; 179.9; 4095.4; 4893.7
234.0; 6.328; -36.0; 1577.8; 1673.8; -36.0; 3740.3; 4391.4; 253.0; 2025.2; 2184.5; 253.0; 4101.0; 4902.0
237.0; 6.414; -35.9; 1581.2; 1675.6; -35.9; 3746.7; 4393.2; 223.1; 2020.0; 2178.3; 223.1; 4096.9; 4895.9
240.0; 6.500; -35.8; 1588.2; 1682.9; -35.8; 3752.8; 4399.4; 152.8; 2010.8; 2167.4; 152.8; 4088.8; 4883.9
243.0; 6.586; -35.8; 1593.8; 1689.0; -35.8; 3756.6; 4403.9; 93.3; 2002.7; 2157.9; 93.3; 4081.2; 4872.8
246.0; 6.673; -35.8; 1595.3; 1690.6; -35.8; 3756.7; 4403.7; 68.8; 1998.4; 2152.9; 68.8; 4076.4; 4865.9
249.0; 6.761; -35.8; 1594.1; 1689.3; -35.8; 3754.5; 4400.5; 68.2; 1996.7; 2150.9; 68.2; 4073.6; 4862.1
252.0; 6.848; -35.7; 1592.2; 1687.2; -35.7; 3751.6; 4396.4; 74.4; 1995.7; 2149.9; 74.4; 4071.2; 4859.1
255.0; 6.936; -35.7; 1589.7; 1684.3; -35.7; 3748.1; 4391.5; 87.1; 1995.5; 2149.8; 87.1; 4069.1; 4857.0
258.0; 7.025; -35.7; 1587.0; 1681.3; -35.7; 3744.4; 4386.4; 101.9; 1995.4; 2150.1; 101.9; 4067.0; 4855.2
261.0; 7.114; -35.7; 1584.8; 1678.9; -35.7; 3740.9; 4381.7; 112.7; 1994.8; 2149.9; 112.7; 4063.9; 4852.8
264.0; 7.203; -35.7; 1583.6; 1677.6; -35.7; 3738.1; 4378.0; 115.2; 1993.1; 2148.9; 115.2; 4059.3; 4849.3
267.0; 7.293; -35.7; 1583.4; 1677.5; -35.7; 3735.8; 4375.1; 110.5; 1990.3; 2147.1; 110.5; 4053.0; 4844.7
270.0; 7.383; -35.7; 1583.1; 1677.1; -35.7; 3733.1; 4371.5; 109.0; 1987.5; 2146.0; 109.0; 4045.8; 4840.4
273.0; 7.474; -35.7; 1580.2; 1674.0; -35.7; 3728.2; 4364.7; 132.2; 1987.0; 2148.3; 132.2; 4039.0; 4839.0
276.0; 7.564; -35.7; 1571.9; 1664.6; -35.7; 3718.3; 4350.7; 210.0; 1991.5; 2158.3; 210.0; 4033.5; 4844.4
